Gene_Pair_id	Gene1_id	Gene1_name	Gene1_chromosome	Gene1_strand	Gene1_chr_start	Gene1_chr_end	Gene2_id	Gene2_name	Gene2_chromosome	Gene2_strand	Gene2_chr_start	Gene2_chr_end
1	GOODH_1020002	SNTG2	chr2	+	936555	1350389	GOODM_0120039	Sntg2	chr12	-	30859859	31058193
2	GOODH_1030123	ZNF35	chr3	+	44665237	44677286	GOODM_1090560	Zfp105	chr9	+	122832196	122840146
3	GOODH_0010550	SPRR2A	chr1	-	151295221	151296612	GOODM_1030204	Sprr2i	chr3	+	92211913	92213193
4	GOODH_0010801	ELK4	chr1	-	203851860	203868623	GOODM_1010307	Elk4	chr1	+	133904182	133922261
5	GOODH_1070402	GIMAP7	chr7	+	149842878	149849093	GOODM_1060148	Gimap9	chr6	+	48626134	48628703
6	GOODH_1010927	DISC1	chr1	+	229829184	230243639	GOODM_1080478	Disc1	chr8	+	127578095	127785051
7	GOODH_0060098	GABBR1	chr6	-	29677984	29708941	GOODM_1170290	Gabbr1	chr17	+	37182911	37211250
8	GOODH_0070065	NPVF	chr7	-	25230718	25234630	GOODM_0060127	Npvf	chr6	-	50600870	50604392
9	GOODH_0070332	WDR91	chr7	-	134520525	134546811	GOODM_0060062	Wdr91	chr6	-	34830426	34860831
10	GOODH_00X0197	TAF7L	chrX	-	100409898	100434701	GOODM_00X0275	Taf7l	chrX	-	130994658	131010833
11	GOODH_00X0286	GPC3	chrX	-	132497444	132947332	GOODM_00X0124	Gpc3	chrX	-	49625623	49967098
12	GOODH_0110316	CDCA5	chr11	-	64601503	64608100	GOODM_1190054	Cdca5	chr19	+	6085097	6091773
13	GOODH_0170522	MRPL38	chr17	-	71406319	71413069	GOODM_0110694	Mrpl38	chr11	-	115993131	116000182
14	GOODH_0170043	ZZEF1	chr17	-	3854489	3993002	GOODM_1110330	Zzef1	chr11	+	72609728	72740622
15	GOODH_0170144	LOC201164	chr17	-	17045036	17050357	GOODM_0110208	4933433K01Rik	chr11	-	59597395	59601159
16	GOODH_1090280	C9orf58	chr9	+	132961733	132988360	GOODM_1020144	2810003C17Rik	chr2	+	31805823	31828962
17	GOODH_1170373	TLK2	chr17	+	57910118	58046573	GOODM_1110618	Tlk2	chr11	+	105042844	105145270
18	GOODH_1120221	OR6C68	chr12	+	54172414	54173365	GOODM_1100414	Olfr780	chr10	+	128758681	128759619
19	GOODH_1150069	CKMT1A	chr15	+	41772376	41778711	GOODM_1020500	Ckmt1	chr2	+	121184377	121189473
20	GOODH_1020035	RHOB	chr2	+	20510316	20512681	GOODM_0120011	Rhob	chr12	-	8504565	8506791
21	GOODH_1020353	RIF1	chr2	+	151974674	152040664	GOODM_1020210	Rif1	chr2	+	51928357	51977901
22	GOODH_1030379	PLS1	chr3	+	143825034	143915191	GOODM_0090362	AI427122	chr9	-	95654458	95745679
23	GOODH_0030256	KIAA1524	chr3	-	109752097	109790980	GOODM_1160194	C330027C09Rik	chr16	+	48994301	49019818
24	GOODH_10X0370	NSDHL	chrX	+	151750167	151788563	GOODM_10X0166	Nsdhl	chrX	+	70163860	70203867
25	GOODH_1050237	WNT8A	chr5	+	137447673	137455098	GOODM_1180061	Wnt8a	chr18	+	34701982	34707715
26	GOODH_0100325	NKX6-2	chr10	-	134448310	134449527	GOODM_0070819	Nkx6-2	chr7	-	146765198	146768692
