Query = geneByGene/org1/ENSG00000124209.rf
Exons file = geneByGene/org2/ENSMUSG00000027519.rf
Frequency file = geneByGene/org1/ENSG00000124209.rf.freq
-mc = 3	local = false
-ss = 1	-es = 1
-B = 5	 -b = 5Opening gap = -2	Continuing gap = -1
Similarity = 12

QID	QEXN	GID	GEXN	EX_M	EX_M%	QEX_M	QEX_M%	O_M	O_M%	TOT_M	GAP	SCORE	EVALUE
ENST00000244040	7	ENSMUST00000029024	7	5	100	0	0	0	0	5	0	24.23	1.495e-06
ENST00000244040	7	ENSMUST00000109110	6	3	75	0	0	1	25	4	1	11.35	0.5829
ENST00000593135	16	ENSMUST00000021311	16	10	71.43	2	14.29	2	14.29	14	0	31.06	1.603e-09
ENST00000587309	15	ENSMUST00000021311	16	9	69.23	2	15.38	2	15.38	13	1	25.65	3.595e-07
ENST00000590129	14	ENSMUST00000021311	16	8	66.67	2	16.67	2	16.67	12	2	21.61	2.054e-05
ENST00000369702	11	ENSMUST00000090680	11	9	100	0	0	0	0	9	0	27.41	6.208e-08
ENST00000475700	3	ENSMUST00000090680	11	0	0	0	0	1	100	1	8	-17.44	1.858e+12
ENST00000354384	5	ENSMUST00000076622	5	2	66.67	1	33.33	0	0	3	0	13.19	0.09261
ENST00000536551	5	ENSMUST00000076622	5	2	66.67	1	33.33	0	0	3	0	13.19	0.09261
ENST00000519357	2	ENSMUST00000130160	2	0	0	0	0	2	100	2	0	-1.727	2.792e+05
ENST00000519357	2	ENSMUST00000112473	1	0	0	0	0	1	100	1	1	-3.093	1.094e+06
ENST00000519357	2	ENSMUST00000143040	3	0	0	0	0	2	100	2	1	-3.485	1.62e+06
ENST00000519357	2	ENSMUST00000047760	3	0	0	0	0	2	100	2	1	-3.754	2.12e+06
ENST00000519357	2	ENSMUST00000052727	3	0	0	0	0	2	100	2	1	-3.905	2.466e+06
ENST00000523102	3	ENSMUST00000143040	3	1	33.33	1	33.33	1	33.33	3	0	4.204	741.5
ENST00000523102	3	ENSMUST00000047760	3	0	0	1	33.33	2	66.67	3	0	1.307	1.344e+04
ENST00000523102	3	ENSMUST00000052727	3	0	0	1	33.33	2	66.67	3	0	1.225	1.459e+04
ENST00000523102	3	ENSMUST00000130160	2	0	0	1	50	1	50	2	1	-1.785	2.959e+05
ENST00000523102	3	ENSMUST00000112473	1	0	0	0	0	1	100	1	2	-5.41	1.11e+07
ENST00000524270	3	ENSMUST00000047760	3	0	0	0	0	3	100	3	0	0.8848	2.05e+04
ENST00000524270	3	ENSMUST00000052727	3	0	0	0	0	3	100	3	0	0.7337	2.385e+04
ENST00000524270	3	ENSMUST00000143040	3	0	0	0	0	3	100	3	0	0.2575	3.839e+04
ENST00000524270	3	ENSMUST00000130160	2	0	0	0	0	2	100	2	1	-3.059	1.058e+06
ENST00000524270	3	ENSMUST00000112473	1	0	0	0	0	1	100	1	2	-5.409	1.11e+07
ENST00000432205	4	ENSMUST00000047760	3	0	0	1	33.33	2	66.67	3	1	-1.03	1.391e+05
ENST00000432205	4	ENSMUST00000052727	3	0	0	1	33.33	2	66.67	3	1	-1.273	1.774e+05
ENST00000432205	4	ENSMUST00000143040	3	0	0	0	0	3	100	3	1	-3.447	1.559e+06
ENST00000432205	4	ENSMUST00000130160	2	0	0	0	0	2	100	2	2	-5.884	1.784e+07
ENST00000432205	4	ENSMUST00000112473	1	0	0	0	0	1	100	1	3	-7.427	8.344e+07
ENST00000446774	4	ENSMUST00000164195	11	2	100	0	0	0	0	2	7	-7.909	1.352e+08
ENST00000446774	4	ENSMUST00000169404	12	2	100	0	0	0	0	2	8	-9.909	9.991e+08
ENST00000446774	4	ENSMUST00000020165	13	2	100	0	0	0	0	2	9	-11.91	7.382e+09
ENST00000446774	4	ENSMUST00000170265	14	2	100	0	0	0	0	2	10	-13.91	5.455e+10
ENST00000308191	13	ENSMUST00000020165	13	11	100	0	0	0	0	11	0	33.5	1.405e-10
ENST00000308191	13	ENSMUST00000170265	14	11	100	0	0	0	0	11	1	31.5	1.038e-09
ENST00000308191	13	ENSMUST00000169404	12	10	100	0	0	0	0	10	1	28.45	2.182e-08
ENST00000308191	13	ENSMUST00000164195	11	9	100	0	0	0	0	9	2	23.41	3.389e-06
ENST00000615259	12	ENSMUST00000169404	12	10	100	0	0	0	0	10	0	30.45	2.954e-09
ENST00000615259	12	ENSMUST00000020165	13	10	100	0	0	0	0	10	1	28.45	2.182e-08
ENST00000615259	12	ENSMUST00000170265	14	10	100	0	0	0	0	10	2	26.45	1.613e-07
ENST00000615259	12	ENSMUST00000164195	11	9	100	0	0	0	0	9	1	25.41	4.587e-07
