Query = geneByGene/org2/ENSMUSG00000027519.rf
Exons file = geneByGene/org1/ENSG00000124209.rf
Frequency file = geneByGene/org2/ENSMUSG00000027519.rf.freq
-mc = 3	local = false
-ss = 1	-es = 1
-B = 5	 -b = 5Opening gap = -2	Continuing gap = -1
Similarity = 12

QID	QEXN	GID	GEXN	EX_M	EX_M%	QEX_M	QEX_M%	O_M	O_M%	TOT_M	GAP	SCORE	EVALUE
ENSMUST00000109110	6	ENST00000244040	7	3	75	0	0	1	25	4	1	11.35	0.9356
ENSMUST00000029024	7	ENST00000244040	7	5	100	0	0	0	0	5	0	24.23	2.399e-06
ENSMUST00000021311	16	ENST00000593135	16	10	71.43	2	14.29	2	14.29	14	0	31.06	2.574e-09
ENSMUST00000021311	16	ENST00000587309	15	9	69.23	2	15.38	2	15.38	13	1	25.65	5.771e-07
ENSMUST00000021311	16	ENST00000590129	14	8	66.67	2	16.67	2	16.67	12	2	21.61	3.297e-05
ENSMUST00000090680	11	ENST00000369702	11	9	100	0	0	0	0	9	0	27.41	9.964e-08
ENSMUST00000090680	11	ENST00000475700	3	0	0	0	0	1	100	1	8	-17.44	2.982e+12
ENSMUST00000076622	5	ENST00000354384	5	2	66.67	1	33.33	0	0	3	0	13.19	0.1486
ENSMUST00000076622	5	ENST00000536551	5	2	66.67	1	33.33	0	0	3	0	13.19	0.1486
ENSMUST00000130160	2	ENST00000519357	2	0	0	0	0	2	100	2	0	-1.727	4.482e+05
ENSMUST00000130160	2	ENST00000523102	3	0	0	1	50	1	50	2	1	-1.785	4.75e+05
ENSMUST00000130160	2	ENST00000524270	3	0	0	0	0	2	100	2	1	-3.059	1.698e+06
ENSMUST00000130160	2	ENST00000432205	4	0	0	0	0	2	100	2	2	-5.884	2.864e+07
ENSMUST00000047760	3	ENST00000523102	3	0	0	1	33.33	2	66.67	3	0	1.307	2.157e+04
ENSMUST00000047760	3	ENST00000524270	3	0	0	0	0	3	100	3	0	0.8848	3.29e+04
ENSMUST00000047760	3	ENST00000432205	4	0	0	1	33.33	2	66.67	3	1	-1.03	2.233e+05
ENSMUST00000047760	3	ENST00000519357	2	0	0	0	0	2	100	2	1	-3.754	3.402e+06
ENSMUST00000143040	3	ENST00000523102	3	1	33.33	1	33.33	1	33.33	3	0	4.204	1190
ENSMUST00000143040	3	ENST00000524270	3	0	0	0	0	3	100	3	0	0.2575	6.162e+04
ENSMUST00000143040	3	ENST00000432205	4	0	0	0	0	3	100	3	1	-3.447	2.503e+06
ENSMUST00000143040	3	ENST00000519357	2	0	0	0	0	2	100	2	1	-3.485	2.601e+06
ENSMUST00000112473	1	ENST00000519357	2	0	0	0	0	1	100	1	1	-3.093	1.757e+06
ENSMUST00000112473	1	ENST00000524270	3	0	0	0	0	1	100	1	2	-5.409	1.781e+07
ENSMUST00000112473	1	ENST00000523102	3	0	0	0	0	1	100	1	2	-5.41	1.782e+07
ENSMUST00000112473	1	ENST00000432205	4	0	0	0	0	1	100	1	3	-7.427	1.339e+08
ENSMUST00000052727	3	ENST00000523102	3	0	0	1	33.33	2	66.67	3	0	1.225	2.342e+04
ENSMUST00000052727	3	ENST00000524270	3	0	0	0	0	3	100	3	0	0.7337	3.827e+04
ENSMUST00000052727	3	ENST00000432205	4	0	0	1	33.33	2	66.67	3	1	-1.273	2.848e+05
ENSMUST00000052727	3	ENST00000519357	2	0	0	0	0	2	100	2	1	-3.905	3.958e+06
ENSMUST00000169404	12	ENST00000615259	12	10	100	0	0	0	0	10	0	30.45	4.741e-09
ENSMUST00000169404	12	ENST00000308191	13	10	100	0	0	0	0	10	1	28.45	3.503e-08
ENSMUST00000169404	12	ENST00000446774	4	2	100	0	0	0	0	2	8	-9.909	1.604e+09
ENSMUST00000164195	11	ENST00000615259	12	9	100	0	0	0	0	9	1	25.41	7.363e-07
ENSMUST00000164195	11	ENST00000308191	13	9	100	0	0	0	0	9	2	23.41	5.44e-06
ENSMUST00000164195	11	ENST00000446774	4	2	100	0	0	0	0	2	7	-7.909	2.17e+08
ENSMUST00000170265	14	ENST00000308191	13	11	100	0	0	0	0	11	1	31.5	1.667e-09
ENSMUST00000170265	14	ENST00000615259	12	10	100	0	0	0	0	10	2	26.45	2.589e-07
ENSMUST00000170265	14	ENST00000446774	4	2	100	0	0	0	0	2	10	-13.91	8.756e+10
ENSMUST00000020165	13	ENST00000308191	13	11	100	0	0	0	0	11	0	33.5	2.256e-10
ENSMUST00000020165	13	ENST00000615259	12	10	100	0	0	0	0	10	1	28.45	3.503e-08
